,precision,recall,f1-score,support
Glioma,1.0,0.7,0.8235294117647058,50.0
Meningioma,0.8305084745762712,0.98,0.8990825688073395,50.0
No Tumor,0.9090909090909091,1.0,0.9523809523809523,50.0
Pituitary Tumor,0.9803921568627451,1.0,0.9900990099009901,50.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.9299978851324814,0.9199999999999999,0.916272985713497,200.0
weighted avg,0.9299978851324812,0.92,0.916272985713497,200.0
